Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Mauritius,11,90.91%,10,54.55%,2.09,0:02:14,0.00%,0,$0.00 
Rwanda,11,54.55%,6,9.09%,8.45,0:15:24,0.00%,0,$0.00 
Vietnam,11,72.73%,8,45.45%,4.09,0:03:21,0.00%,0,$0.00 
Egypt,10,100.00%,10,50.00%,2.4,0:02:32,0.00%,0,$0.00 
Swaziland,8,87.50%,7,50.00%,1.62,0:03:00,0.00%,0,$0.00 
Bangladesh,7,85.71%,6,57.14%,2.14,0:00:31,0.00%,0,$0.00 
China,7,85.71%,6,28.57%,2.86,0:03:33,0.00%,0,$0.00 
Greece,7,85.71%,6,57.14%,2.14,0:02:21,0.00%,0,$0.00 
Kuwait,7,57.14%,4,57.14%,2.71,0:03:17,0.00%,0,$0.00 
Sri Lanka,7,71.43%,5,71.43%,2.71,0:00:37,0.00%,0,$0.00 
Indonesia,6,100.00%,6,50.00%,1.5,0:02:41,0.00%,0,$0.00 
Portugal,6,66.67%,4,66.67%,1.83,0:04:25,0.00%,0,$0.00 
Uganda,6,100.00%,6,100.00%,1,0:00:00,0.00%,0,$0.00 
Denmark,5,100.00%,5,100.00%,1,0:00:00,0.00%,0,$0.00 
Iran,5,80.00%,4,80.00%,1.2,0:00:04,0.00%,0,$0.00 
Italy,5,100.00%,5,100.00%,1,0:00:00,0.00%,0,$0.00 
Laos,5,60.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
New Zealand,5,80.00%,4,60.00%,2.4,0:04:15,0.00%,0,$0.00 
Saudi Arabia,5,60.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Argentina,4,100.00%,4,50.00%,3.25,0:09:17,0.00%,0,$0.00 
Austria,4,25.00%,1,50.00%,11.25,0:08:32,0.00%,0,$0.00 
Belarus,4,100.00%,4,50.00%,2.25,0:02:12,0.00%,0,$0.00 
Estonia,4,75.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Hungary,4,100.00%,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Ireland,4,100.00%,4,75.00%,1.25,0:00:28,0.00%,0,$0.00 
Iceland,4,100.00%,4,75.00%,1.25,0:00:05,0.00%,0,$0.00 
Jamaica,4,75.00%,3,25.00%,4.25,0:02:32,0.00%,0,$0.00 
Cambodia,4,100.00%,4,75.00%,1.5,0:00:18,0.00%,0,$0.00 
Luxembourg,4,100.00%,4,75.00%,1.75,0:00:30,0.00%,0,$0.00 
Morocco,4,75.00%,3,75.00%,1.5,0:00:17,0.00%,0,$0.00 
Montenegro,4,50.00%,2,25.00%,3.25,0:02:28,0.00%,0,$0.00 
Madagascar,4,50.00%,2,50.00%,2.75,0:04:36,0.00%,0,$0.00 
Sweden,4,100.00%,4,25.00%,2.75,0:02:18,0.00%,0,$0.00 
Thailand,4,100.00%,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Taiwan,4,100.00%,4,50.00%,2.25,0:01:35,0.00%,0,$0.00 
Bosnia & Herzegovina,3,66.67%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Colombia,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Ethiopia,3,66.67%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Croatia,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Kyrgyzstan,3,66.67%,2,66.67%,1.33,0:00:21,0.00%,0,$0.00 
Mongolia,3,66.67%,2,66.67%,4.33,0:05:07,0.00%,0,$0.00 
Mexico,3,100.00%,3,66.67%,4,0:11:03,0.00%,0,$0.00 
Nepal,3,100.00%,3,33.33%,2.67,0:05:39,0.00%,0,$0.00 
Romania,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Seychelles,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Tunisia,3,100.00%,3,66.67%,1.67,0:00:26,0.00%,0,$0.00 
Ukraine,3,100.00%,3,33.33%,3.33,0:01:49,0.00%,0,$0.00 
Azerbaijan,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Bulgaria,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Côte d’Ivoire,2,100.00%,2,50.00%,2,0:02:35,0.00%,0,$0.00 
Chile,2,50.00%,1,50.00%,1.5,0:01:07,0.00%,0,$0.00 
Finland,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Liberia,2,100.00%,2,50.00%,2.5,0:02:13,0.00%,0,$0.00 
Libya,2,50.00%,1,0.00%,9,0:16:10,0.00%,0,$0.00 
Moldova,2,100.00%,2,50.00%,1.5,0:00:35,0.00%,0,$0.00 
Oman,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Palestine,2,50.00%,1,50.00%,2.5,0:00:28,0.00%,0,$0.00 
Sudan,2,100.00%,2,50.00%,3.5,0:03:57,0.00%,0,$0.00 
Slovakia,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Afghanistan,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Antigua & Barbuda,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Armenia,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burundi,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Benin,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cyprus,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Czechia,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Algeria,1,100.00%,1,0.00%,2,0:02:35,0.00%,0,$0.00 
Grenada,1,100.00%,1,0.00%,2,0:00:36,0.00%,0,$0.00 
Jordan,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Lebanon,1,100.00%,1,0.00%,5,0:01:47,0.00%,0,$0.00 
Latvia,1,100.00%,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Macedonia (FYROM),1,100.00%,1,0.00%,5,0:00:44,0.00%,0,$0.00 
Myanmar (Burma),1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Maldives,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Nicaragua,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Norway,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Panama,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Peru,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Paraguay,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Serbia,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Senegal,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Somalia,1,100.00%,1,0.00%,3,0:15:50,0.00%,0,$0.00 
São Tomé & Príncipe,1,100.00%,1,0.00%,9,0:01:30,0.00%,0,$0.00 
Togo,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tajikistan,1,100.00%,1,0.00%,8,0:02:27,0.00%,0,$0.00 
Trinidad & Tobago,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00 
,6378,67.59%,"4,311",57.76%,3.19,0:04:14,0.00%,0,$0.00 
